,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
290,1819172427285143554,1819172427125624832,Bonding_agent,0.006,kg,,吴宇森,
291,1819172427285143555,1819172427125624832,Printing_ink,0.002,kg,,吴宇森,
292,1819172427285143556,1819172427125624832,Total_product,0.098,kg,,吴宇森,
293,1819172427285143557,1819172427125624832,Film_PE,0.002,kg,,吴宇森,
294,1819172427285143558,1819172427125624832,Cardboard,0.005,kg,,吴宇森,
295,1819172427285143559,1819172427125624832,Pallet,0.016,kg,,吴宇森,
296,1819172427285143560,1819172427125624832,Total_packaging,0.023,kg,,吴宇森,
297,1819172427285143561,1819172427125624832,TOTAL_Product_with_packaging,0.121,kg,,吴宇森,
298,1819172751303516160,1819172751160774656,Hemp_shives_hurds_Weight,1.64,kg,,吴宇森,
299,1819172751303516161,1819172751160774656,Binder_Weight,3.69,kg,,吴宇森,
300,1819172751303516162,1819172751160774656,TOTAL_Weight,5.34,kg,,吴宇森,
301,1819172751303516163,1819172751160774656,Plastic_film_Weight,0.0025,kg,,吴宇森,
302,1819172751303516164,1819172751160774656,Wooden_pallet_Weight,0.178,kg,,吴宇森,
303,1819172751303516165,1819172751160774656,Label_Weight,6e-05,kg,,吴宇森,
304,1819172751303516166,1819172751160774656,TOTAL_Packaging_Materials_Weight,0.18,kg,,吴宇森,
305,1819173389190045696,1819173389059887104,Hemp_shives_hurds_Weight,2.74,kg,,吴宇森,
306,1819173389190045697,1819173389059887104,Hemp_shives_hurds_Biogenic_material_CO2,1.15,kg,,吴宇森,
307,1819173389190045698,1819173389059887104,Binder_Weight,6.16,kg,,吴宇森,
308,1819173389190045699,1819173389059887104,Binder_Biogenic_material_CO2,0.0,kg,,吴宇森,
309,1819173389190045700,1819173389059887104,TOTAL_Weight,8.89,kg,,吴宇森,
310,1819173389190045701,1819173389059887104,TOTAL_Biogenic_material_CO2,1.15,kg,,吴宇森,
311,1819173389190045702,1819173389059887104,Plastic_film_Weight,0.00417,kg,,吴宇森,
312,1819173389190045703,1819173389059887104,Plastic_film_Weight_percent,0.05,,,吴宇森,
313,1819173389190045704,1819173389059887104,Plastic_film_Biogenic_material_C,0.0,kg,,吴宇森,
314,1819173389190045705,1819173389059887104,Plastic_film_Biogenic_material_CO2,0.0,kg,,吴宇森,
315,1819173389190045706,1819173389059887104,Wooden_pallet_Weight,0.296,kg,,吴宇森,
316,1819173389190045707,1819173389059887104,Wooden_pallet_Weight_percent,3.34,,,吴宇森,
317,1819173389190045708,1819173389059887104,Wooden_pallet_Biogenic_material_C,0.0139,kg,,吴宇森,
318,1819173389190045709,1819173389059887104,Wooden_pallet_Biogenic_material_CO2,0.51,kg,,吴宇森,
319,1819173389190045710,1819173389059887104,Label_Weight,9e-05,kg,,吴宇森,
320,1819173389190045711,1819173389059887104,Label_Weight_percent,0.0,,,吴宇森,
