id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818434708250566666,1818434708200099840,TOTAL (Packaging materials),0.0295,Weight-%,,吴宇森,
1818435804897484800,1818435804855406592,Additives,0.31,%,,吴宇森,
1818435804897484801,1818435804855406592,Extenders,18.39,%,,吴宇森,
1818435804897484802,1818435804855406592,Solvents,59.23,%,,吴宇森,
1818435804897484803,1818435804855406592,Resins,22.07,%,,吴宇森,
1818435804897484804,1818435804855406592,Weight,100.0,%,,吴宇森,
1818435976369020928,1818435976322748416,Aluminium,11.2,g,,吴宇森,
1818435976369020929,1818435976322748416,Stainless steel,200.2,g,,吴宇森,
1818435976369020930,1818435976322748416,Steel,270.0,g,,吴宇森,
1818435976369020931,1818435976322748416,Polyamide,0.9,g,,吴宇森,
1818435976369020932,1818435976322748416,Polyoxymethylene,2.2,g,,吴宇森,
1818435976369020933,1818435976322748416,Other metalalloys,10.2,g,,吴宇森,
1818435976369020934,1818435976322748416,Zinc alloy,219.4,g,,吴宇森,
1818435976369020935,1818435976322748416,Total weight(g),714.1,g,,吴宇森,
1818435976369020936,1818435976322748416,Wood,16.7,g,,吴宇森,
1818435976369020937,1818435976322748416,Cardboard,54.9,g,,吴宇森,
1818435976369020938,1818435976322748416,Plastic,1.3,g,,吴宇森,
1818435976369020939,1818435976322748416,TOTAL (g),72.9,g,,吴宇森,
1818437254990012416,1818437254943739904,Metals,299.79,kg,,吴宇森,
1818437254990012417,1818437254943739904,Wood,118.44,kg,,吴宇森,
1818437254990012418,1818437254943739904,Plastics,2.01,kg,,吴宇森,
1818437254990012419,1818437254943739904,Electrical material,50.64,kg,,吴宇森,
1818437254990012420,1818437254943739904,Paint for wood,4.51,kg,,吴宇森,
1818437254990012421,1818437254943739904,Weight,475.4,kg,,吴宇森,
1818437254990012422,1818437254943739904,Cardboard,2.5,kg,,吴宇森,
1818437254990012423,1818437254943739904,Plastics,0.2,kg,,吴宇森,
1818437254990012424,1818437254943739904,Wood,50.0,kg,,吴宇森,
1818437502625914880,1818437502512533504,Glass_yarn,60.0,%,,吴宇森,
1818437502625914881,1818437502512533504,Glass_yarn,80.0,%,,吴宇森,
1818437502625914882,1818437502512533504,Coating,20.0,%,,吴宇森,
1818437502625914883,1818437502512533504,Coating,40.0,%,,吴宇森,
1818437502625914884,1818437502512533504,HDPE_bag,0.001,kg/m²,,吴宇森,
1818437502625914885,1818437502512533504,HDPE_bag,0.2,%,,吴宇森,
1818437502625914886,1818437502512533504,HDPE_film,0.00045,kg/m²,,吴宇森,
1818437502625914887,1818437502512533504,HDPE_film,0.1,%,,吴宇森,
1818437502625914888,1818437502512533504,Wooden_pallet,0.0893,kg/m²,,吴宇森,
1818437502625914889,1818437502512533504,Wooden_pallet,2.0,%,,吴宇森,
1818437502625914890,1818437502512533504,Cardboard,4.29e-05,kg/m²,,吴宇森,
1818437502625914891,1818437502512533504,Cardboard,0.01,%,,吴宇森,
1818437502625914892,1818437502512533504,Nylon_belt,6.43e-05,kg/m²,,吴宇森,
1818437502625914893,1818437502512533504,Nylon_belt,0.01,%,,吴宇森,
