id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830472470331789313,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,8090.0,Total,A1-A3,,
1830472470331789314,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,359.0,CO2,A4-A5,,
1830472470331789315,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,359.0,Total,A4-A5,,
1830472470331789316,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,47.34,CO2,C1-C4,,
1830472470331789317,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,47.34,Total,C1-C4,,
1830472470331789318,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,4680.0,CO2,D,,
1830472470331789319,1830472470315012096,1b80847a-97ee-45eb-bfb6-bca32a711bcf,4680.0,Total,D,,
1830472575197777920,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,10.9,CO2,A1-A3,,
1830472575197777921,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,10.9,Total,A1-A3,,
1830472575197777922,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,5.35,CO2,A4-A5,,
1830472575197777923,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,5.35,Total,A4-A5,,
1830472575197777924,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,1.08,CO2,B1-B7,,
1830472575197777925,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,1.08,Total,B1-B7,,
1830472575197777926,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,0.7110000000000001,CO2,C1-C4,,
1830472575197777927,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,0.7110000000000001,Total,C1-C4,,
1830472575197777928,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,-0.771,CO2,D,,
1830472575197777929,1830472575185195008,a5a0401c-6d31-49da-bbd3-9d49a20b4711,-0.771,Total,D,,
1830472589957533696,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,1640.0,CO2,A1-A3,,
1830472589957533697,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,1640.0,Total,A1-A3,,
1830472589957533698,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,422.0,CO2,A4-A5,,
1830472589957533699,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,422.0,Total,A4-A5,,
1830472589957533700,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,6.47,CO2,B1-B7,,
1830472589957533701,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,6.47,Total,B1-B7,,
1830472589957533702,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,138.2,CO2,C1-C4,,
1830472589957533703,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,138.2,Total,C1-C4,,
1830472589957533704,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,-42.2,CO2,D,,
1830472589957533705,1830472589944950784,dac58253-5b89-4f53-9832-acbe6cdbc07d,-42.2,Total,D,,
1830472616872382464,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,CO2,A1-A3,,
1830472616872382465,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,Total,A1-A3,,
1830472616872382466,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,CO2,A4-A5,,
1830472616872382467,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,Total,A4-A5,,
1830472616872382468,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,CO2,B1-B7,,
1830472616872382469,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,Total,B1-B7,,
1830472616872382470,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,CO2,C1-C4,,
1830472616872382471,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,Total,C1-C4,,
1830472616872382472,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,CO2,D,,
1830472616872382473,1830472616859799552,f314a3e3-d2f8-4bfe-bbbc-7128aec7662c,,Total,D,,
